date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:26	54702/54702	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2005:29:26%20GMT	https://tiogafolder.com/Twitchaffiliatebooster	/storage/emulated/0/HTTrack/Websites/Twitch%20boostet/tiogafolder.com/Twitchaffiliatebooster.html	(from )
10:59:28	25/25	---M--	200	added ('OK')	text/plain	etag:%2219-5a024a886aa06%22	https://tiogafolder.com/robots.txt		(from )
10:59:32	67222/67222	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:54%20GMT	http://netdna.bootstrapcdn.com/bootstrap/3.0.0-rc1/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/Twitch%20boostet/netdna.bootstrapcdn.com/bootstrap/3.0.0-rc1/css/bootstrap.min.css	(from https://tiogafolder.com/Twitchaffiliatebooster)
10:59:32	7587/7587	---MCZ	200	added ('OK')	text/css	etag:W/%221da3-5a024a87738f1%22	http://tiogafolder.com/bootstrap3/css/bootstrap-glyphicons.css	/storage/emulated/0/HTTrack/Websites/Twitch%20boostet/tiogafolder.com/bootstrap3/css/bootstrap-glyphicons.css	(from https://tiogafolder.com/Twitchaffiliatebooster)
10:59:33	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-5a024a9dbf035%22	http://tiogafolder.com/favicon.ico	/storage/emulated/0/HTTrack/Websites/Twitch%20boostet/tiogafolder.com/favicon.ico	(from https://tiogafolder.com/Twitchaffiliatebooster)
10:59:39	43420/43420	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2005:29:34%20GMT	http://tiogafolder.com/https:	/storage/emulated/0/HTTrack/Websites/Twitch%20boostet/tiogafolder.com/https_.html	(from https://tiogafolder.com/Twitchaffiliatebooster)
10:59:39	67847/67847	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Jul%202022%2017:53:04%20GMT	https://i.ibb.co/6wSKx36/as-seen-on-logos.png	/storage/emulated/0/HTTrack/Websites/Twitch%20boostet/i.ibb.co/6wSKx36/as-seen-on-logos.png	(from https://tiogafolder.com/Twitchaffiliatebooster)
10:59:39	94840/94840	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	/storage/emulated/0/HTTrack/Websites/Twitch%20boostet/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from https://tiogafolder.com/Twitchaffiliatebooster)
10:59:39	167681/167681	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Aug%202022%2018:33:26%20GMT	https://i.ibb.co/3vZ6Myh/twitchboost-removebg-preview.png	/storage/emulated/0/HTTrack/Websites/Twitch%20boostet/i.ibb.co/3vZ6Myh/twitchboost-removebg-preview.png	(from https://tiogafolder.com/Twitchaffiliatebooster)
10:59:40	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/Twitch%20boostet/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://tiogafolder.com/Twitchaffiliatebooster)
10:59:40	15748/15748	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Aug%202022%2016:54:18%20GMT	https://i.ibb.co/VSMxxbs/20220807-221947-0000.png	/storage/emulated/0/HTTrack/Websites/Twitch%20boostet/i.ibb.co/VSMxxbs/20220807-221947-0000.png	(from https://tiogafolder.com/Twitchaffiliatebooster)
